No Dosen,Nama Dosen,Grup Riset,Jumlah Grup Riset Muncul
1,"Ade Ismail, S.Kom., M.TI",Information System,1
1,"Ade Ismail, S.Kom., M.TI",Computer Network,2
2,"Agung Nugroho Pramudhita, S.T., M.T.",Information System,14
2,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Cerdas,2
2,"Agung Nugroho Pramudhita, S.T., M.T.",Multimedia dan Game,3
2,"Agung Nugroho Pramudhita, S.T., M.T.",Computer Vision,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Sistem Cerdas,8
3,"Ahmadi Yuli Ananta, ST., M.M.",Information System,18
3,"Ahmadi Yuli Ananta, ST., M.M.",Computer Network,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Multimedia dan Game,4
4,"Annisa Puspa Kirana., M.Kom",Computer Vision,1
4,"Annisa Puspa Kirana., M.Kom",Sistem Cerdas,5
4,"Annisa Puspa Kirana., M.Kom",Information System,5
5,"Annisa Taufika Firdausi, ST., MT.",Sistem Cerdas,10
5,"Annisa Taufika Firdausi, ST., MT.",Information System,7
5,"Annisa Taufika Firdausi, ST., MT.",Multimedia dan Game,3
5,"Annisa Taufika Firdausi, ST., MT.",Computer Network,1
5,"Annisa Taufika Firdausi, ST., MT.",Computer Vision,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Sistem Cerdas,5
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Information System,5
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Computer Vision,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Multimedia dan Game,6
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",Sistem Cerdas,2
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Computer Vision,5
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Information System,7
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Multimedia dan Game,2
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Sistem Cerdas,5
9,"Arief Prasetyo, S.Kom., M.Kom.",Sistem Cerdas,19
9,"Arief Prasetyo, S.Kom., M.Kom.",Computer Network,9
9,"Arief Prasetyo, S.Kom., M.Kom.",Multimedia dan Game,7
